Tag,Question,Responses 
What,What's your favorite martial arts action flick?,"Probably any of the Ip Man trilogy.-Who stars in that?-Donnie Yen from Hong Kong.-He's incredible and super creative.-Nice, I'll check it out.-Yours?-Crouching Tiger, Hidden Dragon.-That choice means you've only seen one.-How do you know?-It's the only mass-market movie to hit American theaters."
Transformers,"Are you excited about the latest Transformers movie, The Last Knight?","Not really, Michael Bay really lost me after the second one, Revenge of the Fallen.-Revenge of the Fallen was so bad.-The action sequences were good in it and I didn't mind Shia Labeouf's constant screaming or Megan Fox's sex appeal but the heavy inclusion of his parents was too much.-I agree, the stuff with his parents and the brownies, as well as all the unnecessary scenes with the dogs were off putting.-The story line itself was a mess.-I can see why you gave up on the Transformers franchise.-Michael Bay is going to give you action but nobody has ever said he knew how to work together a good concept to present through all those explosions and crashes.-That's exactly the problem with the Transformers films.-I want to watch the films for Optimus, Bumblebee, Megatron, not for the parents or Shia's love life problems.-I can't argue about that although I think the 3rd Transformers film, Dark of the Moon was pretty decent.-Definitely a good bounce back from Revenge of the Fallen.-I haven't watched it but it has Rosie Huntington and Patrick Duffy right?-Yeah Rosie replaced Megan Fox as Sam, or Shia's love interest.-John Malkovich is also in the movie, but he plays more of a comic relief role.-I love John Malkovich especially in Being John Malkovich, and I think he's such a respectable actor that I almost watched Dark of the Moon for him but I wasn't sold because Michael Bay was directing."
Transformers,Have you heard of the new Transformers movie that's coming out?,"No I haven't, what is the name of it?-It's Transformers: The Last Knight and is directed by Michael Bay.-Awesome, I hope this one lives up to the hype from the rest of them.-Me too, the last couple of movies that Michael Bay put out have been hit or miss.-Ya but they action in them have still been good.-I have high expectations for this movie.-Why is that?-The last one that came out was a disappointment for me.-I think that Mark Wahlberg will do another good job of acting in this movie.-Michael Bay does make good movies at times.-You're right, I will go into this movie with an open mind and hopefully the movie turns out good.-Awesome!-I look forward to seeing it with you when it comes out."
Do,Do you want to go to the movies this weekend?,"Sure, what are we going to see?-I am not sure, lets look and see whats playing?-lets look for action...Oh ""Transformers: The Last Knight"" is playing
ok, if you want action, that is the right choice
I hear optimus prime is the bad guy in this
no way, how does that happen I wonder
I dont know, we will see this weekend
I cant wait
me either, I love a good action film"
Hard,I just watched Die Hard for the first time in years recently.,The break through performance that made Bruce Willis a household name.-I totally forgot the dad from the Family Matters show was in it.-Yeah he was the cop that liked to eat Twinkies.-I gotta say Die Hard was still surprising good after all this time.-If you liked Die Hard you should check out Escape from New York.-I think i remember that movie.-Is it the one with the guy that wears an eye patch.-Yup Kurt Russell played Snake Plissken in it.-Next time i have some free time i'm a check it out.-There's also a follow up called Escape from L.A that is worth seeing as well.
John,Do you ever watch John Carpenter movies?,"Sometimes.-Ghosts of Mars is one that you should watch.-It is an action movie with a slight horror twist to it.-Sounds good.-Who was in that one?-That had Jason Statham in it.-I like him.-Was it a fairly recent movie?-Yes, it came out in 2001.
Who else was in it?-Of all people Ice Cube was in it."
Hi,Hi.,"Hi.-Do you have a favorite action movie?-Hmm.-Take your time.-I would probably say Hudson Hawk.-The Bruce Willis movie?-Yeah that's the one.-You know, I've never seen it.-It's a great 80's movie."
What,What is your favorite action movie?,"My favorite action movie is probably Dirty Harry.-That's an interesting choice.-How so?-Well it's not very politically correct in these times because of all the police incidents.-I could see that point of view, but Dirty Harry never killed or hurt anyone that didn't have it coming.-That's true, he never killed an innocent person.-Yeah, Harry was just out to stop someone he knew for sure was a serial killer.-I could see how one might break the rules in that situation.-Yeah, it's somewhat easy to sympathize with Dirty Harry in that film."
Charles,DId you see any Charles Bronson Movies?,"Sure, all the ""Death Wish"" series.-Each time his wife, girlfriend or daughter was murdered and he wreaked venvence on the killers in the end.-He started out as a pacifist in the first one and his wife and daughter were killed or maimed horribly by street punks.-The first time he struck back he used two rolls of quarters in a sock as a weapon to run off a would be mugger.-That was just practice as he was looking for the creeps that had destroyed his family.-He took out quite a few bad guys along the way.-Sure, there was a couple being mugged in a parking garage and he showed up to help, killing the bad guys.-The civilians suddenly could not remember what he looked like when the cops tried to find out who he was.-In the end the cops found out who he was but he had taken out so many bad guys that the let him go by making him leave town for good.-That put him in another city to do the same thing again a few years later.-It was risky to be his wife or girlfriend, most of them were murdered by creeps!"
Suburban,You have see this movie called Suburban Commando.,"I've never heard of it.-What's it about?-Oh it's great.-Basically it is Hulk Hogan as an alien assassin being chased by other alien assassins who are also professional wrestlers.-This is starting to sound like a terrible movie.-It is!-But it is just so terrible that it happened to be great.-They obviously blew their budget on the Hulkster.-Okay, so you are saying it's kind of like Sharknado, in that it's so bad that it's kind of good?-Yeah, I mean just imagine Hulk Hogan in a cheap alien uniform escaping the Undertaker's lasers through a random suburban town.-Oh god, I don't know if I want to see this movie.-It is so worth it though.-The entire movie is cheap, the frame rate is even something like three frames per second because they run out of money.-That just sounds despicable."
Have,Have you seen the movie kingsmen?,"Yes it was a great movie
I love spy movies
Me too
And this one had lots of action and suspense
I just found out they are coming out with a new one this year
Thats awesome, when?-I read in september
I cant wait
Me either"
Day,I watched Patriot's Day this weekend.,"I didn't think it showed enough action.-Really?-I thought it was just enough.-Yes there wasn't much in the way of chases.-Well, it's based on a true story so they couldn't deviate from that much.-I understand.-I was a good movie though other than that.-I thought that it made you really reflect on these people as actual people.-Yes sometimes in movies it's hard to separate fact and fiction.-This was really someones life.-Yes and they did a great job honoring them."
What,What was the last action movie you saw?,"I think the last one I saw was the matrix.-What did you think of it?-It was pretty good.-The special effects have mostly aged well.-Yeah they were cutting edge at the time.-Absolutely.-They did some interesting and innovative things to get those 360 degree slow motion shots.-Really, what did they do?-Well they had a ton of cameras placed in a circle around the actors and they took frames from the cameras in succession.-Wow that's really interesting.-What did you think of Keanu Reeves?-He fit the part well, though his acting was a bit stiff as usual."
Lethal,We watched two Lethal Weapon movies this weekend.,"A blast from the past.-Yes, comedy and lots of action.-Mel Gibson and Danny Glover were great in those movies.-They were.-Can't picture any other actors being in those movies.-They were so young.-Joe Pesci was funny in the second one.-He was a cooky character.-They should make one in the current day.-They should.-It would still be a good movie."
Die,Which of the Die Hard movies is your favorite?,"I'm going to go ahead and actually pick a somewhat recent one.-Please, not the one in Russia.-Oh, of course not.-That was ridiculous.-Yeah, A Good Day to Die Hard was insanely awful.-Live Free or Die Hard, with Justin Long
That was pretty good, yeah.-Which was the one with the racist sign that he had to wear?-I think that was Die Hard 2.-Timely with the riots.-That was kind of stupid and disturbing but we got to meet Samuel L Jackson!"
Night,I just saw Sleepless Night.,"French movie, I believe.-Yes, directed by Frederic Jardin.-What's it about?-A French detective's son is kidnapped for cocaine.-Who stars in the movie?-Tomer Sisley.-Adel Bencherif
Tomer Sisley is hot!-Yes, he was in Angelique.-Another cool flick."
Do,Do you like action movies?,"I loved Mad Max Fury Road?-Me too.-Whose your favorite character?-Furiosa
Yeah, I can see that.-Seems like it was more about Furiosa and Immortan Joe than about Max
I just like her character as she was really strong
I liked her mechanical arm
And her shaved head
Do you think they will make another movie?-I hope so.-I love the post nuclear holocaust theme."
John,I saw a good John woo action movie last week.,"Oh yeah, which one.-The Replacement Killers.-That movie had Mia Sorvino in it.-Yes, it did.-I thought that not only was the action good, but it was well scripted.-I noticed that also.-The storyline was interesting.-You can't beat a John Woo film for action.-Yeah, it feels like you are actually in the movie when you watch it.-Hong Kong style action cinema is the best."
music,do you have a favorite action film?,"maybe enter the dragon with bruce lee.-that was good but i liked the one where he fought chuck norris.-that is epic.-i forgot about that one.-two of the best fighters ever going against each other.-yeah, and bruce knocked him out.-I guess bruce really is the better fighter.-i wish i could see a real fight between them
especially because there are so many sayings about chuck
bruce is better though"
What,What is your favorite action movie?,"I love Die Hard.-That's a great film!-Yeah, especially since it's a great Christmas movie.-Hahaha, that's so true.-What's your favorite action movie?-I'm a big fan of The Mummy actually.-Really?-What do you think about Tom Cruise being in the new one then?-I'm sad because I love Brendan Fraser.-Yeah, but I bet he'll take the action to the next level."
Max,I think Mad Max is probably the best action film in a long time.,"It's up there.-It's basically a nonstop car chase.-I was a bit disappointed that it didn't win more Oscars.-It's kind of tough for a film like that to win outside of some technical categories.-But it was very deserving.-Great performances, great direction...-But it's not really the type of movie to convince the academy.-Do they have any plans for a sequel?-Not that I've heard.-Might be a few years if it did happen.-I'll be first in line when it's released if it's released.-I'll be right there with you."
Pirates,Have you seen the new Pirates movie yet?,"Not yet.-I heard it was just okay.-That's pretty accurate.-The plot was better than some other movies.-That's what I hate about some of these movies.-They can be an incoherent mess.-This one is much simpler.-How was Johnny Depp in this one?-It was kind of weird.-He wasn't a focus as much as I thought he would be.-He is getting old, 50-something by now.-I'm not so sure they'll be another movie in the franchise.-They've milked this thing.-If there's cash to be made, expect another one."
Have,Have you ever seen undisputed 2?,"Yea, with michael jai white!-Yea, that guy is a beast.-Yea, he is so good at martial arts.-There were a lot of good fight scenes in that movie.-The best one was at the end with boyka.-Who is Boyka Played my?-Scott Adkins I think.-That guy is amazing, too.-Yea, the two of them together was an unstoppable combination."
Shoot,"If you want to watch a great movie, watch Shoot 'em Up.","Never heard of it.-Clive Owen is in it.-I like that actor.-Yes, his movies are almost always good.-Who else is in it?-Paul Giamatti.-Let me guess, he's a bad guy, right?-Of course, isn't he almost always?-Yes.-Well I like both of them, so I'll have to rent it."
What,What's a good action movie to watch?,"I just saw London Has Fallen.-I thought it was really good.-I saw Olympus Has Fallen and I liked that a lot.-Is London Has Fallen similar?-I actually thought it was better than the first one.-Is Gerard Butler back in it?-He is and he's tough as nails.-Why did you think it was better than the first?-I just thought the premise of London Has Fallen was a bit more believable.-Yeah, some parts of Olympus Has Fallen seemed a bit far fetched.-Exactly.-This one seemed much more plausible."
Raiders,Do you like Raiders of the Lost Arc?,"Yes, it is a classic Spielberg movie.-Did you know the character was named after George Lucas's dog?-No, I did not
When did it come out?-1981
Is that before Star Wars?-No, Star Wars was 1977
Are there any other Raiders movies?-Yes, quite a few actually."
Hi,Hi.,Hey there.-You into action movies?-Yeah I like them alright.-What was the last one you saw?-Could you call Guardians of the Galaxy 2 action?-Yeah I think so.-Well it was that one.-What did you think of the movie?-I thought it was pretty good.
What,What action movie has the best bank heist scene?,"That has to be Heat.-Of course, that really was a fantastic scene.-Yes, and the rest of the movie was great as well.-What did you think of the diner scene?-That was an amazing scene with two of the best American actors going toe to toe.-Yeah, that was there first scene together in any movie, correct?-Yeah, that is correct.-Who did you like better, De Niro or Pacino?-Pacino was a bit too over the top for me, so I'll choose De Niro."
Great,"I caught the movie The Great Wall the other day, have you seen it yet?","The one with Matt Damon in ancient China times right?-Yeah that's the one, it was really entertaining!-Matt Damon is such a good actor.-I love Matt Damon in the Jason Bourne Series and I was hoping this would be just as fun and it was.-I think Matt Damon brings such a charisma on to the screen.-In The Great Wall he plays a thief that ends up helping this Dynasty protect their walls from these demon monsters.-Wow, I didn't realize that film had monster elements!-I haven't watched it yet but this sounds like my type of movie.-He battles these demon monsters that are threatening to take over the world.-They repopulate really fast and are just terrifying.-It sounds like a movie Matt Damon would be pretty good in!-As long as it's action and he get's to kick butt I think the movie will be enjoyable.-Oh he certainly does kick a lot of demon monster butt.-I think you'll enjoy it the cinematography is really good and the action is tons of fun.-I'll look for The Great Wall when it comes out to add to my Matt Damon movies collection."
Schwazernager,"Arnold Schwazernager, fan?","Absolutely, how about you?-Definitely, what's your favorite Arnold movie?-Terminator 2
Oh right, that was pretty good.-A lot of cool effects.-how about you?-I liked Predator
Get to the chopper!!!-Yes, that was an iconic line
Yeah, pretty funny quote"
Ghost,Did you see Ghost Protocol?,"Yeah, that was the best Mission Impossible they've put out for a while.-I really liked Jeremy Renner.-He was good, but Simon Pegg was better.-Best little techy in the business!-Ha!-He's just so funny.-Action movies are best with a little comic reliefe.-Yeah, you need something to break up the tention.-The next chapter wasn't so great.-I hadn't seen it yet."
Eastwood,Are you into Eastwood action films?,"Like Dirty Harry?-Yes, the old school nothing but action and a bit of romance here and there.-I think he is the perfect example  of action star.-His best one may be Gran Torino.-I loved how that one followed his life, like he was still old but a really bad and cool guy.-It reminded me of his part in Sudden Impact.-The raw tuff guy you mean?-Yes, that whole action man persona he does.-His work in the Enforcer, that was action to its core."
Snatch,Have you ever seen the movie Snatch?,That sounds like an interesting movie.-What is it about?-It is a Guy Ritchie movie about a bunch of criminals.-That sounds fun.-Why should I check it out.-It gives you a good look into the criminal underground in the United Kingdom.-Cool.-I think I might check it out.-Is anyone I know in this?-Have you heard of Brad Pitt?-Yes.-He was so good in Inglorious Bastards.-He plays a boxer in this.-Wow.-I am definitely watching this now!
What,What is your favorite type of movie?,"I am a really big fan of action movies.-Oh ya me too.-Have you seen the Rush Hour Series?-Ya it is one of my favorites.-Which one is your favorite?-I am a huge fan of the 2nd one.-Ya I like that one too.-Jackie Chan is one of my favorites.-Ya me too.-I think him and Chris Tucker work really well together.-Ya.-I like how they combine action with comedy.-Ya it gives you the best of both worlds.-Ya, they are the best duo in my opinion in regards to action movies.-The bloopers at the end are awesome too."
Last,"Do you remember  ""Last Action Hero?""","Who could forget that movie?!-It was Arnold Schwarzenegger's best role ever as far as I'm concerned.-I have to disagree with you there, I think his best role ever was ""Terminator 2: Judgement Day.""-That was a really good one, not as good as ""Last Action Hero,"" but it was really good.-I think that if they'd had more time to work on it, it would have been a lot better.-I do agree with you on that point.-The studio did them dirty.-I also think that because of that is why Arnold slowed down his acting career.-That makes sense.-I'd be pretty discouraged if I were him.-At least he came back for ""The Expendables.""-What a fantastic movie.-Yeah, I love that movie.-Totally action packed!"
Will,Do you have a favorite Will Smith action movie?,I have so many it's hard to pick just one.-I would have to say Independence Day is my all time favorite.-That is by far the highest grossing movie on his resume.-I could still watch it over and over till this day.-I think Bad Boys with Martin Lawrence might be my favorite.-Yeah that has to be one of the best buddy cop movies of all times.-Can forget the Men In Black movies.-Please i'm still waiting on the next MIB installment.-I would love to see a crossover movie with Men in Black and Guardians of the Galaxy.-So epic!
Blood,Have you seen the movie Blood Father?,"No, never heard of it.-Great movie, you have to watch it.-Who is in it?-Mel Gibson.-Wow, haven't seen one of his movies in a while.-That's what I said.-He was great in it.-Was he a cop?-No actually a convict, but won't tell you too much.-Okay, I'll check it out."
Marvin,...Marvin should have had an opinion.,"What now?-Marvin.-In Pulp Fiction.-He should have had an opinion.-That's why he died.-He didn't have an opinion.-Yeah Vincent asks him if he thought ""God came down and stopped those bullets"" and..
..and Marvin says ""man I ain't even got an opinion.""-This triggers Vincent to turn around to ask him again.-..gun in hand...casual conversation..
..""You got to have an opinion!-You think that God came down and stopped..."" Then bye bye to Marvin's Head.-...gone.-One second.-A bump in the road.-Gone.-He should have just agreed with Vincent.-Then Vincent doesn't turn around and shoot him in the face.-Yea, Marvin should have had an opinion."
Tell,Tell me what kind of action movies you like?,"Oh, I think Predator is one of my favorites.-Haha, yes!-With Arnold fighting the predator at the end.-Yup and the classic phrases like ""get to da choppa!""-But yeah, the Predator is a classic villain.-With his night vision and voice mimicking powers.-Don't forget about the optic camouflage.-Wasn't Jesse Ventura in that movie?-Yes!-He plays one of the big soldiers guys.-What a great action movie."
Yo,Yo you seen the new guardians of the galaxy?,"DUDE YES Chris Pratt was the bomb!-I loved baby groot
Eh he's over rated
Dude he's freakin adorable
You sound gay bruh
Nah he's just a cute little fella
Well I like that buff grey dude
Bruh you gay
Hey!-Forget you!"
Hi,"Hey
Hi.","Do you like action movies?-Yeah sure love them.-Do you have an all time favorite.-Point Break has got to be up there.-Oh yeah, great movie.-I haven't seen it in a while.-I saw it recently and it is still great.-Yeah I bet."
The,Have you seen The Transporter?,"Yes, it is a classic
I really like Jason Statham movies.-He seems to play the same role in each movie
Yea, he is a really good actor when it comes to action movies
He is very tough, I like it.-Being a driver like that seems to be a great fit for him.-He was also good in The Mechanic
Yea, but I liked the original version a bit more
Most originals are way better, but his version was still entertaining."
Oh,"Oh, man.","That new Mummy...-There's a new Mummy too?-Man, I haven't seen Brendan Fraser for a while.-No, man.-He's not in it.-It's... different.-He's not?-So they rebooted another reboot?-Like Spider-Man?-Yeah, I don't know why they do this.-This is really bad.-Is it the same story?-Same characters and everything?-No.-I don't... know if it's the same as those old ones, but it's not like the Brendan Fraser ones.-What is it like, then?-Well, it's got Tom Cruise as a soldier in modern-day Iraq.-And... uh, it's got Jekyll and Hyde.-What."
Transformers,Has anyone seen the new Transformers movie yet?,"It just came out the 20th of June, so I plan on seeing it Friday!-DO you know who is playing in it?-Mark Wahlberg, Anthony Hopkins, Laura Haddock, Josh Duhamel are some of the names in this summer movie.-I noticed that this movie has grossed already $260 million dollars already and its not even toward the first weekend yet!-Wow.-These guys make so much money it's nuts!-Who was the director of it?-Michael Bay directed this one, he does an amazing job with directing.-I enjoy his movies as well.-Maybe we can go see it together?"
Team,The A-Team movie was on yesterday.,"Really, I love that movie.-It was a great extension from a not so great tv show.-Liam Neeson did a great job as Hannibal.-He is a top notch actor.-The fight scenes were intense although some of the action was over the top.-I agree.-The CGI graphics were a bit much some times.-The actor who played Mr. T's role looked just like the original.-He really did look like him.-This was definitely an underrated film that didn't get much attention.-It sure didn't get any critical acclaim."
The,Do you want to come watch The Dark Knight?,"Heck yes, I love that movie!-Me too, I must have watched it one hundred times.-I was never really a fan of Heath Ledger until The Dark Knight.-I don't know, he was pretty good in ""10 Things I Hate About You.""-Are you serious right now?-Kinda.-You would say something like that.-Seriously, I agree though, his role as the Joker was awesome.-I know it was.-I've seen every Batman movie and none of them can hold a candle to this one."
What,What is a good movie about the apocalypse?,I suggest you check out Terminator 2.-I heard that movie was scary.-It is scary because it could happen.-You should face your fears though.-I will.-What happens in this movie?-A robot goes back in time to try to destroy a man who will save humanity in the future.-That makes my brain hurt!-I already have enough trouble keeping up with today.-It isn't that bad.-There is good story progression.-Will it require more than one watches?-It might.-You will catch more if you watch it again.
Gone,Did you ever see Gone In 60 Seconds?,"No, who played in that?-It was a Nicholas Cage film.-He has really gone downhill as an actor.-Yes, but this was one of his earlier works.-Was this a reboot?-Yes, the original film came out back in the 70's.-Sometimes those turn out good and sometimes not.-Well this one is worth a watch.-I'll have to check it out."
Bill,I just saw Kill Bill on demand.,"No.-1 or 2?-1.-Wasn't Sonny Chiba cool?-Yes, but i loved Darryl Hannah.-The patch made her look awesome.-Lucy Liu was great.-Uma Thurman looked fabulous.-I'm going to watch 2 tonight.-That's a great idea."
Deadpool,I just saw Deadpool and really loved it.,"I did not get to see it yet but I have heard great things about it.-There is tons of action and Marvel Comics movies are always the way to go.-Ryan Reynolds is a wonderful actor I heard he did a great job.-Oh my, he really did!-You get to fall in love with the soft side of Deadpool.-I heard that Wade gets cancer in the movie, is that true.-It is true!-I don't want to spoil too much but he has a soft side and it's really sweet that he leaves for Vanessa's sake.-Does Wade and Vanessa get married at the end?-Well, she is really upset that he left her, but she's happy to have him back at the end.-I really need to watch this movie, I think I am going to rent it tonight and indulge myself."
Hello,Hello.,"Hi.-Do you enjoy action movies?-Yeah sure.-Have a favorite?-Not really, but I do like all of the 80's action movies.-Like Robocop and all that stuff?-Yeah movies like that.-Those take me back to my childhood.-Yeah I feel the same way."
Planet,I just saw Dawn of the Planet of the Apes.,"Who is the director?-Matt Reeves.-Who plays Caesar?-Andy Serkis.-Any big name star?-Gary Oldman.-Who plays Caesar's wife, Cornelia?-Judy Greer.-She's a good actress."
Unbreakable,"DId you watch the movie ""Unbreakable""?","Yes, that is the one with Bruce Willis as the Security Guard.-Yes, he did a good job.-I was expecting something like he usually does, but this one had a slow pace.-I really did not expect him to turn into a super hero, it really picked up on all the action and suspense, great ending
Did you catch the twist at the ending?-Kinda, can you fill me in a bit?-Well starts out Bruce is a security guard with one kid, and he and his wife are having issues.-He is on a train going to NYC, for an interview.-That is when the train wrecks and he is the only one, left alive.-Yes, and the reason he was left alive was that he had the powers of a superhero, but he had no idea.-Then he runs into the man that has the broken bone disease.-Who in turns in the end orchestrated the entire thing.-Bruce was the good guy and the other guy was MR. Glass."
music,I saw a movie called headshot.,"was it good?-yeah, it was the story of this really evil dude that kidnaps kids and turns them into henchmen.-that's bad.-so the kids are doing bad stuff?-they're adults when we see them.-they call the bad guy father but he's really twisted
twisted how?-he tosses the kids in a well and makes them kill each other for water or food.-the survivors form his gang.-that is twisted.yes.-One guy named Aldi or some like that tries to leave the gang I guess, subtitles.-foriegn film?-yeah, I think it may have been made in Jakarta or it was a place in the movie."
Russel,What is your favorite Russel Crow movie.,"Gotta go with Gladiator.-What an awesome flick!-Who was the emperor?-The guy who played Dumbledore?-No his son.-Oh, Pheonix!-Yeah, Joaquin Phoenix.-Now that boy can act.-Yeah, someone should give him an Oscar."
Woman,I'm so thrilled that the Wonder Woman movie is doing so well at the box office.,"Have you seen it?-No, but I want to.-I love action movies and super hero flicks.-I'm a big action movie fan, too.-I want to see The Mummy, too.-I can't believe Tom Cruise is still bankable as an action hero at his age.-Well, age is just a number.-He keeps himself in ridiculous shape.-Plus, action movies are mostly CGI now.-I guess.-I wish they'd revive the Die Hard series.-That would be amazing.-I love Die Hard.-I just watched the first Die Hard movie recently.-It never gets old."
Skull,I watched Kong Skull Island last night with my folks.,"That's the King Kong remake starring Tom Hiddleston and Brie Larson right?-That's the one, John Goodman and Samuel L. Jackson also star in it.-I heard John C. Reily is also in there.-He is in there he makes a surprise appearance, but his character was so funny.-Did you like the movie or was it just like the past remakes?-I actually enjoyed it a great deal.-It was very action packed, suspenseful, and I thought they did a great job avoiding some typical action movie cliches.-How was Kong?-Were they just trying to battle him the whole movie?-Kong was enormous!-They actually start out with you thinking Kong was the villain but you soon realize he's actually the hero.-Sounds amazing!-I'll have to try to catch it soon too."
The,Did you see they remade 'The Mummy'?,"Yeah, with Tom Cruise?-That's right.-Seems kind of soon to do a remake.-That's what I thought - the original didn't come out that long ago.-I guess Hollywood is struggling for good action movies.-Have you seen reviews?-I have, and they're not great.-That's what I thought.-Everyone is sick of remakes.-Not even Tom Cruise can save it - he isn't a box office pull anymore.-Yeah, in the 90s he was the ultimate action movie hero.-Tom Cruise did do a lot of great action movies."
Pirates,Have you seen the 1st Pirates of the Caribean movie?,"Yes I have, i love Johnny Depp in it.-I know, he is so cute, especially when he swings on things.-I liked when he was fencing with Will Turner.-Me too, what was his real name?-Orlando Bloom.-He played a good pirate.-Yes and he's cute too, especially when he was running in the cage ball.-I liked when he was 1st seen by Elizabeth as a boy.-Yes and when he was fighting with Jack Sparrow on the rafters.-But Jack Sparrow was cute when he said, ""Savvy""."
Alien,Do you like the Alien movie franchise?,"I love the Alien movies.-Ridley Scott is a genius.-I agree with that, and Sigourney Weaver is great as Ripley.-Those to me are some of the scariest movies of all time.-No arguments there.-I had no idea Prometheus was a prequel for the Alien movies.-It was?-I've never even seen Prometheus.-Oh you've gotta see it, it's a great movie.-Let's you know what happened before the original Alien.-Wow I've got to make it a point to see that one.-Have you seen Alien Covenant?-The brand new one?-Not yet but I heard it wasn't that great.-I don't like taking others' opinions for movies but I think I'll give it a try."
Transformers,Has anyone seen the new Transformers movie yet?,"No I didn't, who was playing this weekend?-Well Crrossroads and also Regal is playing it.-What is the story line on this one?-Humans are at war with the Transformers, and Optimus Prime is gone.-The key to saving the future lies buried in the secrets of the past and the hidden history of Transformers on Earth
I hope Mark Wahlburg is playing in this one, he was great in the last movie.-Yes, he is coming back, and Josh Duhamel plays beside him in this with Anthony Hopkins too!-I am so going to see that on the big screen!-Yes, I think its the only real way to see an action movie like this.-To do it justice, yes it is!"
Extortion,"Did you see the movie ""Extortion""?","The one about the man and wife and boy on vacation in the Caribean?-Yes and they got stranded on an island with no gas or water until those guys pull up in a boat.-That was crazy, wanting a million dollars to save them.-Yeah but it was crazier when they tried to kill him by locking him in the boat and sinking it.-That guy had like 9 lives through the whole movie.-I know, and the whole time his wife and kid are still on the island.-He went through hell, getting shot, stabbed, hooked, and still survived.-and that mexican he found that knew where the island was gets hit by a truck.-Yeah that was stupid, and whispers his last words where his family was."
Do,Do you like martial arts movies?,They are pretty good.-I would check out Drunken Master.-Who is in that?-Jackie Chan plays a martial artist who fights while drunk.-I love Jackie Chan!-When did this come out?-A long time ago.-It's a classic movie with hilarious dubbing.-Jackie Chan is so nice.-I would love to meet him.-There is a reason he is as famous as he is.-I wish more people were like Jackie Chan!
Wonder,Have you seen the latest Wonder Woman movie?,"Yes, I saw it over the weekend with my husband.-We both loved it.-Have you?-Yes, I went last week.-I thought it was one of the best super hero movies I have seen in a while.-I agree, great casting with the two leads in particular.-I love Chris Pine.-Me too.-I wish his character wasn't killed off.-But he did a fantastic job.-I know.-I think it had some of the best fight scenes I had seen in a while.-I love how strong and able the women were.-Me too.-It was great to see Robin Wright to so well.-She was incredible and the lead was outstanding.-I have never seen her in anything other than the Batman V. Superman movie where she played Wonder Woman.-I saw her in that too.-She did not catch my attention as much, but I remember she was good.-She was, but this was by far a more demanding movie.-What a fantastic role model for young girls.-She is so capable."
James,Do you like James Bond movies?,"Yeah, those are classics.-What's your favorite Bond film?-I liked Goldeneye alot.-Who played that Bond again?-Pierce Brosnan played Bond in that one.-Oh, it's hard to keep track of all the Bonds.-I know they always seem to be changing.-I think Daniel Craig is the most recent Bond.-Casino Royale was a great movie."
Which,Which do you think was better out of these two movies?,The first or second John Wick movies?-I honestly preferred the second John Wick movie.-I did as well.-The mannerisms Keanu Reeves had in the second John Wick movie were really odd.-Yeah and so was the story line in some ways.-I feel like the second one should of been the prequel.-Indeed.-The second John Wick movie felt like it needed to end on a cliffhanger to have another sequel just to do well.-I still liked the soundtrack score for both movies.-The soundtrack for this action movies was one of the better ones for sure.-It reminded me of some of the video games that become movies like Max Payne.-What did you think of the action movie Max Payne?-I liked it a lot but it left me wanting sequels.
Hi,Hi.,Hey there.-Do you like the action movie genre?-I like it alright I guess.-What was the last action movie that you saw?-I saw the avengers civil war.-Did you like it?-Yeah I thought it was decent.-I haven't seen it yet.-It's pretty solid.
What,What is your favorite action movie?,"I really like Gladiator.-Braveheart will probably come second.-Gladiator is one of my favorites too.-It was just a well-done movie from the beginning to end.-I still get teary-eyed when I saw the last scene of Maximus' friend burying Maxmimus' small carvings of his family.-One action movie that I love that doesn't get enough credit is Conan the Barbarian.-Conan the Barbarian?-Is that the movie with NBA Basketball player Wilt Chamberlain?-No, that was the sequel to Conan the Barbarian.-The name was Conan the Destroyer.-Conan the Destroyer was absolutely awful.-James Earl Jones did a great job portraying the villain Thusla Doom in Conan the Barbarian.-He made the movie for me.-The actions scenes in the movie were great too.-Arnold Schwarzenegger was in his prime then."
What,What would you consider an iconic action movie or series?,"I have really enjoyed the Die Hard series.-They weren't all stellar, but when they hit, they were really enjoyable.-The first one was such a classic.-I didn't watch Bruce Willlis much on that TV show he did, but I really thought he made a great transition to films with Die Hard.-I loved how the filmmakers weren't afraid to blow a ton of shit up, and they ended up basically destroying the entire bulding by the end.-I've watched the film many times, and it's amazing how beat up John gets over the course of the film, but he keeps on fighting, and he's really believable.-I agree with you there.-John was a really credible, realistic hero, and you could feel his pain and frustration and determination to get the bad guy.-And what a great bad guy!-I love that he was urbane and witty and cultured and in the end, all he wanted was a shitload of money.-That movie really stands the test of time, too.-The fight sequences were epic.-Guns, fights, lots of action, the hero reuniting with his estranged wife, the cop sidekick, the wisecracking FBI guys.-A great movie all around.-I think Bruce Willis really eanred his rep as an action hero in this and subsequent movies."
Ones,"I cannot stand some directors
Like who
Ones that ruin franchises
What franchise was ruined
Transformers
How was it ruined
Michael bay turned it into explosions the movie
But they are cool
Not it is lame
Whatever you say",
Die,What do you think of the Die Hard franchise.,"The Christmas movies?-What?-No, the action films.-Yes, but they are Chritmas movies as well.-No, they are action.-Police and guns and terror.-All set at Christmas time.-An action Christmas movie.-The first one did happen during an office Christmas party.-Yes, and the second one, Christmas time as well.-Well, did you like them.-All I can say is, they are my favorite Christmas action films."
